"","Value","Age","Overall","Potential","Nationality","International.Reputation","Preferred.Foot.Right","Weak.Foot","GKDiving","GKHandling","GKKicking","GKPositioning","GKReflexes","DefensiveAwareness","Wage","Special","Height","Weight","Release.Clause"
"303",25500000,27,81,84,"Portugal",1,1,3,82,76,75,83,84,25,24000,1214,191,91,55500000
"305",6500000,28,76,78,"Germany",2,0,2,77,77,60,70,78,14,21000,1213,192,90,12200000
"306",1500000,32,73,73,"Romania",1,1,3,72,70,66,74,74,11,9000,1213,189,78,3e+06
"307",250000,39,72,72,"Argentina",1,1,3,73,67,71,71,73,12,6000,1212,189,87,350000
"308",4200000,26,74,77,"Germany",1,1,3,74,70,64,72,79,21,16000,1212,194,96,7900000
"309",210000,34,68,68,"Turkey",1,1,2,70,65,63,68,72,21,15000,1211,191,86,420000
"310",1e+06,33,73,73,"Ukraine",2,1,3,76,67,68,75,72,19,650,1211,197,85,2200000
"311",550000,31,67,67,"Spain",1,1,2,65,67,63,67,70,14,2000,1210,191,86,853000
"312",2200000,26,72,74,"Portugal",1,1,3,74,69,63,72,75,15,6000,1209,191,88,4800000
"313",1500000,32,73,73,"Spain",2,1,5,74,73,69,71,70,19,8000,1209,185,78,2400000
"314",650000,31,68,68,"Mexico",1,1,3,67,66,67,69,67,23,7000,1209,183,79,1100000
"315",7e+05,32,69,69,"Uruguay",1,1,2,68,67,70,67,68,14,3000,1209,186,82,1300000
"316",2100000,27,72,74,"Russia",1,1,4,72,69,71,74,74,15,26000,1208,190,85,3500000
"318",1e+06,33,73,73,"Germany",1,1,3,76,73,60,73,75,15,7000,1208,183,80,1600000
"319",1e+06,33,73,73,"Spain",2,1,2,75,60,75,71,81,20,14000,1208,179,75,2100000
"320",3e+06,27,73,76,"Greece",1,1,2,74,67,66,72,79,24,15000,1207,196,88,5600000
"321",825000,25,65,70,"England",1,1,3,66,64,60,63,68,29,4000,1207,186,74,1600000
"322",1600000,26,70,73,"Austria",1,1,3,69,67,68,65,71,14,20000,1206,191,81,3200000
"323",4400000,34,81,81,"Italy",2,1,3,81,82,72,80,83,10,32000,1206,189,82,7500000
"324",110000,37,67,67,"Ecuador",1,1,2,67,63,67,69,68,19,500,1206,184,81,237000
"325",1200000,36,77,77,"Spain",2,1,2,79,71,79,77,76,15,14000,1206,188,83,2500000
"326",925000,32,71,71,"Turkey",2,1,2,73,69,67,75,71,22,16000,1206,192,86,1900000
"327",1e+06,28,68,70,"England",1,1,2,69,66,61,67,69,14,3000,1206,193,84,1600000
"328",6e+05,33,71,71,"Belgium",1,1,2,72,67,73,69,72,21,9000,1205,196,86,1200000
"329",1600000,29,72,72,"Greece",1,0,3,74,65,74,67,78,11,7000,1205,178,84,2300000
"331",150000,35,69,69,"Argentina",1,1,2,69,69,68,66,68,23,3000,1205,191,87,218000
"332",2e+06,27,71,75,"Brazil",1,0,3,74,67,72,67,75,11,5000,1204,188,80,4400000
"333",750000,33,72,72,"Germany",1,1,3,73,71,66,70,74,20,13000,1204,198,97,1400000
"334",9500000,28,77,80,"Argentina",1,1,2,78,77,67,74,80,13,24000,1204,186,83,21600000
"335",1100000,27,68,70,"Spain",1,0,2,68,70,67,65,67,15,8000,1204,186,81,2500000
"336",1200000,31,72,72,"Greece",1,1,2,79,62,65,70,79,19,750,1204,197,92,2600000
"337",950000,34,75,75,"Argentina",1,1,3,72,72,75,77,77,18,16000,1203,191,86,2e+06
"338",3e+06,27,73,76,"Congo",1,0,3,75,67,76,71,74,12,28000,1203,186,79,5900000
"340",7e+05,32,69,69,"Netherlands",1,1,3,69,68,72,65,71,16,4000,1203,193,88,1e+06
"341",1200000,39,77,77,"Spain",3,1,3,73,76,71,79,75,16,9000,1203,196,89,2500000
"342",2700000,26,72,77,"Colombia",1,1,2,73,69,66,75,72,20,1000,1202,196,85,3800000
"343",4500000,30,75,75,"Germany",2,1,4,79,74,60,64,83,20,19000,1202,187,85,7700000
"344",625000,35,75,75,"France",2,1,3,75,72,76,73,77,18,13000,1202,180,75,1300000
"345",950000,28,68,69,"Belgium",1,1,4,68,63,70,68,70,12,7000,1202,186,84,1500000
"346",1100000,28,68,71,"Croatia",1,1,3,67,65,70,68,70,19,5000,1202,191,81,2100000
"347",150000,39,69,69,"Argentina",2,1,2,67,68,72,70,67,20,4000,1202,185,77,210000
"348",3e+06,31,75,75,"Georgia",1,1,2,78,73,62,73,74,13,9000,1201,194,80,4800000
"349",7e+06,29,77,77,"Italy",1,0,2,79,75,71,75,80,28,26000,1201,185,75,12600000
"350",725000,28,66,68,"Brazil",1,1,2,65,65,69,65,67,22,500,1201,189,86,1600000
"351",1e+07,33,82,82,"Brazil",1,1,2,79,84,77,83,78,20,20000,1201,190,85,1.9e+07
"354",6e+06,27,75,79,"North Macedonia",1,1,2,74,76,72,76,76,19,14000,1200,188,84,13700000
"355",1600000,23,66,74,"England",1,1,3,70,58,68,62,71,18,5000,1199,185,72,3400000
"357",650000,29,66,67,"Denmark",1,0,3,65,63,77,66,66,28,2000,1198,199,99,861000
"358",950000,34,75,75,"Republic of Ireland",1,1,3,77,72,67,73,76,15,40000,1198,188,78,1800000
"359",1.9e+07,31,83,83,"Finland",3,1,3,85,78,69,83,87,10,55000,1197,192,83,32300000
"360",6500000,28,76,78,"Uruguay",1,1,3,76,78,67,76,77,14,1000,1197,190,82,14800000
"361",3700000,24,73,78,"Burkina Faso",1,1,3,75,71,69,69,76,13,8000,1196,186,81,5800000
"362",1e+06,28,68,70,"France",1,1,2,66,66,64,66,71,10,3000,1196,187,94,1900000
"365",1100000,28,70,70,"Germany",1,1,3,70,63,64,74,77,8,3000,1195,188,95,1600000
"367",1800000,33,75,75,"England",2,1,5,75,71,64,74,79,11,34000,1195,201,93,3400000
"368",3e+05,32,64,64,"United States",1,1,1,65,63,64,63,63,10,2000,1195,191,88,450000
"369",8500000,32,79,79,"Colombia",2,1,3,82,72,77,77,84,11,48000,1195,183,80,14500000
"370",80000,36,65,65,"Korea Republic",1,1,2,64,63,63,66,64,18,1000,1194,184,85,104000
"371",1.5e+07,26,78,82,"Czech Republic",1,1,3,77,80,78,78,77,17,900,1194,193,81,32600000
"372",625000,35,75,75,"Argentina",1,1,2,75,73,65,79,74,17,7000,1194,187,87,906000
"374",1400000,25,68,73,"Russia",1,1,2,70,66,65,65,70,20,2000,1194,185,68,1900000
"375",1100000,28,68,71,"Colombia",1,1,2,70,67,65,64,71,12,700,1193,189,80,1600000
"376",575000,24,63,68,"Bulgaria",1,1,3,64,61,61,62,63,16,1000,1193,188,76,1e+06
"377",1600000,28,71,73,"Austria",1,1,2,72,69,65,71,72,27,7000,1193,187,79,2700000
"378",1e+06,28,68,70,"Uruguay",1,1,2,72,67,65,66,63,15,4000,1193,187,85,1700000
"380",3900000,27,74,76,"Italy",1,1,2,75,73,66,72,75,22,12000,1192,192,84,7300000
"381",625000,40,75,75,"Mexico",1,1,3,72,77,68,78,73,25,23000,1192,184,84,1100000
"382",20500000,21,77,85,"France",1,0,2,79,76,73,73,81,22,34000,1192,196,74,43100000
"383",5e+06,30,76,76,"Jamaica",2,1,2,78,68,68,78,80,14,7000,1191,188,79,7500000
"384",1.2e+07,29,79,79,"Brazil",1,1,3,81,75,71,77,82,22,26000,1191,186,80,22800000
"385",2e+06,30,73,73,"France",2,1,3,72,71,73,74,75,13,4000,1191,185,90,3600000
"386",475000,35,74,74,"Argentina",1,1,3,74,72,70,76,76,12,5000,1191,186,83,760000
"387",625000,39,75,75,"Brazil",1,1,2,75,75,68,71,76,18,11000,1190,185,79,1e+06
"388",5500000,33,79,79,"France",2,1,3,78,77,77,78,80,16,24000,1190,187,82,1.1e+07
"389",1500000,35,74,74,"Switzerland",3,1,3,71,79,61,77,71,10,15000,1189,194,89,2900000
"390",1400000,28,70,72,"France",1,1,2,72,69,68,68,74,22,7000,1189,198,98,2100000
"391",875000,28,67,69,"Spain",1,1,3,64,67,63,65,68,17,2000,1189,189,78,1400000
"392",8e+05,30,68,68,"England",1,1,3,70,62,62,65,71,15,10000,1189,191,85,1500000
"393",90000,36,66,66,"Norway",1,1,2,65,63,65,66,67,19,850,1189,190,85,113000
"394",2800000,29,73,73,"Russia",1,1,2,75,70,71,69,79,15,10000,1189,187,82,5600000
"395",130000,38,68,68,"Germany",1,1,3,66,68,72,73,64,21,5000,1189,189,88,195000
"397",4500000,26,74,78,"Brazil",1,1,2,76,72,68,69,75,11,21000,1188,188,82,8900000
"398",3700000,30,75,75,"United States",2,1,3,76,71,69,77,75,19,7000,1188,191,102,5600000
"399",1.5e+07,24,78,81,"Italy",1,1,2,80,73,73,76,82,10,14000,1187,192,83,26600000
"400",825000,36,76,76,"Norway",2,1,4,74,71,70,80,78,12,19000,1187,190,86,1400000
"401",950000,28,67,70,"Netherlands",1,0,3,66,63,70,64,69,14,3000,1187,191,92,1500000
"402",350000,36,73,73,"France",1,0,2,72,69,68,73,74,20,16000,1187,189,76,665000
"403",250000,35,72,72,"Italy",2,0,2,70,72,69,74,72,27,6000,1186,195,90,5e+05
"404",2200000,25,72,74,"Mexico",1,1,1,72,72,62,69,74,19,22000,1185,196,92,3900000
"405",350000,35,73,73,"Greece",2,1,3,73,72,69,75,74,20,13000,1185,190,81,665000
"406",350000,37,73,73,"Argentina",2,1,3,72,71,62,75,75,21,6000,1184,194,86,525000
"407",45000,39,64,64,"Mexico",1,1,3,64,64,63,63,60,21,2000,1184,182,74,77000
"408",1300000,26,68,72,"France",1,1,2,70,65,62,67,70,10,3000,1184,185,81,2800000
"409",3e+05,32,64,64,"Canada",1,1,2,63,61,62,65,66,30,2000,1184,196,80,525000
"410",150000,36,69,69,"United States",2,0,2,67,68,76,70,67,12,2000,1184,193,95,225000
"411",2600000,25,72,76,"France",1,0,2,74,68,66,73,74,13,7000,1183,189,88,4e+06
"412",825000,25,65,70,"Mexico",1,1,2,63,67,64,65,63,10,2000,1183,192,79,1300000
"413",3e+06,28,74,74,"Wales",1,1,3,75,72,66,73,75,8,53000,1183,191,88,5700000
"414",350000,36,73,73,"Australia",1,1,2,71,69,63,76,74,23,5000,1183,187,95,508000
"416",2e+06,25,70,76,"Argentina",1,1,2,74,72,75,68,70,15,8000,1183,191,85,4600000
"417",4e+05,33,68,68,"France",2,1,1,68,66,65,69,66,14,2000,1183,189,81,7e+05
"418",1900000,28,72,73,"England",1,0,2,73,70,70,70,72,12,31000,1182,188,80,3800000
"419",1700000,27,70,74,"Mexico",1,1,1,69,64,61,73,73,21,9000,1182,189,84,3e+06
"420",1700000,26,70,74,"Paraguay",1,1,2,71,66,65,73,72,21,5000,1182,185,89,2700000
"421",950000,28,67,70,"Germany",1,1,5,67,63,64,67,74,10,1000,1182,188,87,1400000
"422",1100000,29,70,70,"Saudi Arabia",1,0,3,74,64,56,68,74,13,16000,1182,187,79,1800000
"423",1e+06,33,73,73,"Germany",1,1,2,74,69,76,69,77,12,16000,1182,183,80,1700000
"424",525000,26,63,67,"England",1,1,2,64,61,63,61,65,8,2000,1181,189,86,958000
"425",210000,37,71,71,"South Africa",1,1,3,69,71,69,70,75,17,500,1181,180,81,462000
"426",240000,32,63,63,"England",1,1,3,63,61,61,63,64,24,2000,1181,188,90,420000
"427",4500000,28,75,76,"Brazil",1,1,2,77,73,68,75,77,16,4000,1181,193,90,7500000
"428",2600000,28,73,75,"France",1,1,2,73,71,72,73,74,12,12000,1180,186,79,5400000
"429",1400000,24,65,73,"Spain",1,1,3,67,61,65,63,68,15,4000,1180,182,75,3200000
"430",1200000,27,68,71,"Argentina",1,1,2,67,65,66,69,67,23,4000,1180,191,82,1800000
"431",650000,29,66,67,"Bulgaria",1,1,3,66,63,64,66,71,21,2000,1179,182,75,926000
"432",2100000,26,72,73,"Turkey",1,1,2,70,69,68,71,80,12,8000,1179,186,80,4400000
"433",1200000,30,71,71,"Netherlands",1,1,3,72,67,69,70,73,15,4000,1179,188,88,1800000
"434",1200000,27,68,71,"Spain",1,0,3,68,67,69,65,70,23,3000,1179,190,82,2e+06
"436",775000,24,62,70,"Spain",1,1,3,67,53,58,54,72,12,1000,1179,185,77,1400000
"437",350000,38,73,73,"Japan",2,1,3,72,71,72,73,73,10,9000,1179,185,82,7e+05
"439",1100000,25,66,72,"Argentina",1,1,3,67,66,66,63,67,28,3000,1178,186,78,1900000
"440",325000,34,71,71,"Portugal",1,1,2,68,73,66,72,72,15,7000,1178,190,86,650000
"441",825000,37,76,76,"Brazil",1,1,2,77,71,65,77,79,12,13000,1177,190,82,1600000
"442",1100000,25,66,72,"England",1,1,3,68,64,60,66,67,14,2000,1177,189,65,2100000
"443",4700000,29,75,77,"Uruguay",1,1,2,74,73,71,74,73,20,950,1176,179,81,10700000
"444",850000,31,70,70,"Israel",1,1,3,72,66,61,68,73,19,5000,1176,193,78,1300000
"445",130000,35,68,68,"Venezuela",1,1,1,70,67,59,67,68,12,2000,1176,196,89,208000
"446",275000,27,61,62,"United States",1,1,3,62,60,64,60,62,10,1000,1176,183,79,433000
"447",275000,34,70,70,"Bolivia",1,1,3,67,72,64,71,70,23,7000,1176,192,85,413000
"448",4e+06,31,76,76,"Spain",1,1,2,77,74,73,74,78,11,17000,1176,195,90,8400000
"450",1.3e+07,23,77,82,"Germany",1,0,4,76,74,72,73,81,20,18000,1175,190,88,24400000
"451",1300000,34,76,76,"Brazil",2,1,2,76,75,66,76,78,14,27000,1174,188,81,2200000
"452",825000,23,63,70,"England",1,1,3,65,60,60,60,65,15,2000,1174,191,79,1600000
"453",90000,35,66,66,"United States",1,1,2,68,63,63,64,68,18,1000,1174,186,85,135000
"454",150000,38,69,69,"Scotland",1,0,3,70,67,64,68,71,23,2000,1174,193,83,263000
"455",625000,37,75,75,"Uruguay",1,0,3,76,72,68,74,77,15,7000,1173,184,88,1e+06
"456",1e+06,27,67,70,"Slovakia",1,1,3,69,63,66,66,69,16,3000,1173,190,80,1800000
"457",775000,27,67,67,"United States",1,1,2,66,65,66,66,70,12,2000,1173,191,88,1200000
"458",5e+06,27,75,77,"United States",1,1,2,76,71,66,79,76,11,7000,1173,191,88,7900000
"459",575000,27,64,67,"Spain",1,1,2,60,61,62,64,68,10,2000,1173,191,84,894000
"460",825000,38,76,76,"Netherlands",2,1,4,75,75,75,77,74,9,8000,1172,197,92,1200000
"461",45000,38,62,62,"Mexico",1,1,3,67,54,60,62,62,19,1000,1172,185,83,77000
"463",180000,35,70,70,"Belgium",1,1,3,68,70,63,73,69,22,4000,1172,187,80,270000
"464",950000,29,69,69,"Australia",1,1,2,71,66,64,65,69,16,6000,1172,191,91,1200000
"465",725000,34,74,74,"Wales",2,1,3,76,74,77,74,71,13,22000,1171,198,90,1400000
"466",80000,37,65,65,"Poland",1,1,2,64,64,61,66,63,12,2000,1171,187,82,112000
"467",5e+06,24,73,80,"Slovakia",1,1,3,76,70,72,69,75,8,25000,1171,194,81,10500000
"468",120000,34,65,65,"Finland",1,1,1,65,63,58,65,64,15,3000,1170,195,88,210000
"470",1800000,24,70,75,"United States",1,1,2,71,68,67,68,71,12,3000,1170,193,84,2800000
"472",3100000,24,70,78,"Ghana",1,1,3,75,64,63,66,74,11,4000,1170,188,87,5100000
"473",325000,33,67,67,"England",1,1,3,68,62,66,66,68,15,7000,1169,192,91,618000
"474",5e+05,32,67,67,"Turkey",1,1,1,62,66,68,71,64,20,5000,1169,190,81,1e+06
"475",4200000,30,75,76,"Poland",2,1,2,78,72,54,74,81,18,22000,1169,187,84,7500000
"476",8e+05,24,67,73,"Denmark",1,0,2,70,64,66,66,69,21,3000,1169,194,97,1200000
"477",3e+07,29,83,85,"Senegal",2,1,2,83,82,78,81,84,10,105000,1168,197,86,57800000
"478",875000,27,67,68,"Germany",1,1,4,70,58,66,63,72,10,6000,1168,193,84,1500000
"479",1100000,25,66,72,"Spain",1,1,3,67,63,69,66,68,10,2000,1167,187,85,1900000
"480",3800000,29,75,75,"Korea Republic",1,1,3,76,71,60,73,81,29,9000,1167,189,75,4900000
"482",7e+05,24,64,69,"Argentina",1,1,2,64,61,60,62,66,22,2000,1167,187,73,1100000
"483",1e+06,31,71,71,"Brazil",1,1,2,72,68,58,69,72,13,14000,1167,186,83,1900000
"484",2700000,26,72,77,"Portugal",1,1,3,72,71,67,71,73,12,8000,1167,185,78,5600000
"485",875000,25,66,69,"Belgium",1,1,3,67,63,62,65,68,12,2000,1167,194,78,1200000
"486",325000,28,62,63,"Mexico",1,1,2,70,45,55,64,67,12,1000,1167,186,80,561000
"488",325000,33,67,67,"Germany",1,1,3,68,66,64,67,65,12,9000,1166,190,90,553000
"489",180000,38,70,70,"France",1,1,3,70,68,70,72,67,20,2000,1166,180,71,315000
"491",925000,30,69,69,"Korea Republic",2,1,2,70,64,67,68,72,15,4000,1166,187,84,1200000
"492",550000,29,65,66,"United States",1,1,2,64,62,69,62,66,12,2000,1166,185,88,866000
"493",1100000,24,66,72,"Senegal",1,1,3,68,65,67,65,65,12,2000,1166,192,80,2500000
"494",625000,29,67,68,"Italy",1,1,2,70,64,58,62,68,15,1000,1166,184,71,1e+06
"495",1500000,32,73,73,"Germany",2,1,3,70,69,70,73,74,20,17000,1165,188,81,2400000
"496",2e+05,32,62,62,"England",1,0,3,62,63,61,61,62,10,3000,1165,188,85,350000
"497",1500000,28,70,73,"Switzerland",1,1,3,70,65,65,68,73,25,8000,1164,196,88,2300000
"498",1.3e+07,22,76,83,"Portugal",1,1,2,77,74,65,74,78,21,14000,1164,190,82,29900000
"499",2900000,26,73,75,"Korea Republic",1,1,3,75,69,65,70,78,23,6000,1164,185,78,3800000
"500",925000,30,69,69,"Spain",1,0,2,67,69,63,69,67,14,3000,1164,188,80,1400000
"501",150000,39,69,69,"Australia",1,0,2,65,65,66,73,70,17,1000,1163,193,87,188000
"502",6e+05,33,71,71,"Spain",1,1,2,69,69,61,73,72,18,5000,1163,195,92,960000
"503",1600000,25,69,74,"Argentina",1,1,2,68,64,73,70,72,20,6000,1162,190,88,2500000
"504",1300000,29,70,72,"England",1,1,3,72,66,66,71,73,12,16000,1162,192,83,2600000
"505",60000,35,64,64,"Northern Ireland",1,1,3,61,60,71,65,63,10,1000,1162,183,74,105000
"506",425000,27,62,66,"Romania",1,1,2,62,60,56,56,65,20,2000,1162,194,86,606000
"507",2700000,24,70,77,"Netherlands",1,1,3,69,66,71,67,72,14,5000,1162,183,73,4500000
"509",1100000,25,67,71,"New Zealand",1,1,2,67,64,54,64,69,12,1000,1161,194,80,1500000
"510",210000,34,68,68,"Poland",2,1,2,67,64,70,66,68,5,3000,1161,195,88,305000
"514",210000,37,71,71,"Argentina",1,1,3,70,67,63,73,72,19,5000,1161,182,74,357000
"515",925000,30,69,69,"United States",1,1,2,72,64,70,65,71,19,3000,1161,188,86,1300000
"516",925000,24,65,71,"Germany",1,1,3,68,64,57,63,68,13,800,1161,186,86,1500000
"517",325000,34,71,71,"Sweden",1,1,3,66,72,67,79,67,22,5000,1160,192,94,423000
"518",575000,30,66,66,"England",1,1,3,64,66,70,67,64,10,11000,1160,188,79,1100000
"519",1e+06,28,68,70,"Denmark",1,1,3,66,65,63,71,69,12,3000,1160,195,92,1500000
"521",1100000,27,68,70,"Netherlands",1,1,3,72,66,65,64,69,25,3000,1160,196,95,1700000
"522",2700000,23,70,77,"Spain",1,0,2,72,66,65,69,72,16,4000,1160,185,78,4900000
"523",60000,37,64,64,"England",1,1,3,65,62,62,63,64,13,2000,1160,183,70,105000
"524",1400000,22,65,73,"France",1,1,3,63,63,63,63,69,7,2000,1159,187,79,2700000
"525",210000,37,71,71,"Paraguay",1,1,3,70,67,64,70,71,15,3000,1159,190,92,347000
"526",1100000,25,66,72,"Portugal",1,1,2,66,67,66,63,67,17,3000,1159,195,85,1800000
"527",750000,33,72,72,"Poland",1,1,3,67,72,67,75,71,9,9000,1158,194,86,1400000
"528",5e+05,27,63,67,"Netherlands",1,1,3,65,61,62,64,61,10,2000,1158,203,94,763000
"530",7e+06,24,74,81,"England",1,1,2,74,70,70,73,74,10,20000,1158,190,83,14700000
"531",4100000,27,74,77,"Brazil",1,1,3,75,73,71,71,78,10,8000,1158,192,88,8900000
"532",350000,41,73,73,"Argentina",1,1,2,70,69,69,77,74,20,6000,1158,183,84,525000
"533",5e+05,32,67,67,"Switzerland",1,0,3,67,65,63,68,70,29,6000,1158,181,78,725000
"534",21500000,23,79,84,"Switzerland",1,1,3,80,78,77,74,83,15,36000,1158,195,88,38200000
"535",950000,33,70,70,"Germany",1,1,3,70,68,66,69,71,12,11000,1156,197,92,1600000
"536",2e+06,28,72,74,"Austria",1,1,4,75,70,60,67,75,20,750,1156,186,80,4600000
"539",875000,27,67,68,"Netherlands",1,0,3,68,65,70,65,68,10,3000,1155,188,87,1300000
"540",4e+05,27,62,65,"United States",1,0,2,63,59,60,60,65,12,1000,1155,188,84,630000
"542",5500000,33,79,79,"Poland",2,1,2,80,74,64,77,82,13,23000,1155,190,81,9900000
"543",1200000,22,65,72,"Sweden",1,1,2,66,64,76,59,68,18,2000,1155,193,86,2200000
"545",3700000,21,74,74,"Brazil",1,1,2,71,72,73,75,76,11,6000,1154,188,85,7e+06
"546",2300000,27,72,75,"Greece",1,0,2,71,72,72,71,73,17,26000,1154,195,91,4300000
"547",925000,29,68,69,"Brazil",1,1,2,64,67,59,70,68,13,4000,1154,195,92,2e+06
"548",1.3e+07,24,77,82,"France",2,0,2,78,74,73,77,82,16,15000,1153,190,78,2.7e+07
"549",2e+06,30,73,73,"Czech Republic",1,1,3,74,74,67,72,72,14,700,1153,187,82,4400000
"550",8500000,29,77,79,"Germany",2,1,3,76,75,66,76,80,16,34000,1153,190,84,15100000
"551",575000,30,66,66,"United States",1,0,3,66,65,62,68,64,10,2000,1153,193,86,863000
"552",475000,35,70,70,"Germany",2,1,3,69,70,64,71,69,18,8000,1153,190,91,855000
"553",6e+05,32,68,68,"Sweden",1,1,3,69,70,68,68,66,25,2000,1153,190,90,750000
"554",825000,24,63,70,"Spain",1,1,3,63,62,59,57,69,28,1000,1153,187,77,1500000
"555",1500000,32,73,73,"Mexico",1,1,3,73,73,68,72,73,15,26000,1153,182,78,2600000
"556",80000,35,65,65,"England",1,1,2,65,62,66,65,64,15,7000,1152,188,86,152000
"557",950000,29,69,69,"Netherlands",1,1,4,72,63,73,67,72,9,6000,1152,196,90,1800000
"558",2800000,18,69,84,"Czech Republic",1,1,3,71,71,76,69,72,11,500,1152,188,78,7900000
"560",1200000,31,72,72,"Brazil",1,1,2,75,65,64,72,76,18,7000,1152,193,88,2400000
"561",50000,41,63,63,"Peru",1,1,1,62,65,61,60,63,7,500,1152,183,75,108000
"562",5e+05,32,67,67,"Belgium",1,0,4,67,64,65,70,68,16,3000,1152,185,80,725000
"563",4800000,28,75,77,"Netherlands",1,1,4,76,69,75,73,77,15,20000,1151,195,87,9e+06
"564",7e+05,32,69,69,"Iceland",1,1,2,68,70,62,67,70,24,500,1151,192,89,1500000
"565",1500000,24,66,73,"Republic of Ireland",1,0,2,68,65,60,62,69,14,700,1151,180,80,2600000
"566",1900000,26,71,74,"England",1,1,3,73,69,62,70,72,24,16000,1150,188,89,3800000
"567",450000,33,69,69,"Mexico",1,0,3,66,69,65,68,71,15,9000,1150,182,88,765000
"568",7500000,27,76,79,"Germany",1,1,2,74,73,70,77,78,20,12000,1150,192,92,11800000
"569",450000,31,66,66,"Germany",1,1,4,66,64,64,64,68,23,1000,1150,190,83,653000
"570",230000,26,59,62,"England",1,1,2,61,58,57,57,59,12,2000,1150,194,72,443000
"571",7e+05,29,67,67,"Korea Republic",1,1,3,67,66,65,66,68,16,2000,1150,190,88,875000
"573",3100000,23,70,80,"Germany",1,1,3,73,65,69,67,74,19,8000,1149,187,82,6200000
"574",150000,36,69,69,"Scotland",1,1,3,69,67,65,68,71,13,4000,1149,190,82,285000
"576",6e+05,32,68,68,"England",1,1,3,70,67,65,65,68,7,12000,1148,191,87,1100000
"577",775000,29,67,68,"Netherlands",1,1,2,65,67,61,64,68,10,3000,1148,187,80,1200000
"578",650000,30,66,67,"Denmark",1,1,3,64,65,65,66,68,22,3000,1148,187,83,861000
"580",425000,26,63,64,"Chile",1,1,1,62,63,62,60,64,16,1000,1147,179,76,627000
"581",650000,31,68,68,"England",1,1,3,69,69,70,65,68,15,7000,1147,191,83,1200000
"582",1100000,29,70,70,"Germany",1,1,2,72,66,62,68,74,15,6000,1147,190,89,1800000
"583",275000,30,62,62,"Republic of Ireland",1,1,3,62,61,60,61,63,24,2000,1147,187,89,481000
"584",650000,27,65,67,"England",1,1,3,65,62,63,64,66,12,9000,1147,192,78,1300000
"585",1100000,30,70,70,"Germany",1,1,2,70,67,60,69,74,11,5000,1147,187,91,1700000
"586",220000,32,63,63,"Austria",1,1,2,63,62,59,61,64,28,3000,1146,188,83,385000
"587",1200000,32,72,72,"Denmark",1,1,2,73,72,68,70,72,20,15000,1146,195,89,1600000
"588",6e+05,32,68,68,"United States",1,0,3,68,66,66,72,69,14,3000,1146,189,84,9e+05
"589",50000,39,63,63,"Argentina",1,1,2,61,60,67,66,62,23,1000,1145,185,85,75000
"590",150000,35,69,69,"Republic of Ireland",1,0,2,70,65,74,69,70,15,11000,1145,190,94,285000
"591",1200000,30,71,71,"Argentina",1,1,3,70,70,67,69,72,15,5000,1145,185,80,1900000
"592",110000,35,67,67,"England",1,1,3,66,64,69,66,69,30,2000,1145,191,84,193000
"593",4400000,27,74,78,"France",1,1,3,77,68,69,72,79,15,13000,1144,188,82,9100000
"594",2100000,29,73,73,"Italy",1,1,1,75,71,65,70,76,18,20000,1144,188,80,3600000
"595",2200000,25,71,76,"Argentina",1,1,3,72,68,67,69,72,18,7000,1144,185,87,3500000
"596",180000,36,70,70,"Turkey",1,1,2,69,68,66,72,69,14,4000,1144,185,78,360000
"597",525000,33,70,70,"Romania",1,1,2,67,69,72,70,72,16,10000,1144,203,96,1e+06
"598",3e+05,32,64,64,"France",1,1,2,65,60,55,62,66,13,1000,1144,187,85,540000
"599",220000,30,61,61,"England",1,1,2,64,59,60,55,64,16,1000,1143,185,78,385000
"600",60000,39,64,64,"Norway",1,1,2,61,61,64,66,60,28,650,1143,188,91,75000
"601",325000,30,63,63,"England",1,0,2,67,59,58,64,66,16,2000,1143,190,84,569000
"602",650000,27,65,67,"Republic of Ireland",1,1,3,66,64,67,66,65,25,6000,1142,193,95,1300000
"603",7e+06,24,75,80,"Romania",1,1,2,79,69,72,75,80,12,43000,1142,188,78,12400000
"604",2e+06,26,71,75,"United States",1,1,3,78,66,57,62,76,14,22000,1141,195,83,4e+06
"605",2800000,32,75,75,"Germany",2,1,2,76,69,62,75,79,16,41000,1141,192,87,4600000
"606",925000,23,65,71,"Serbia",1,1,2,66,64,62,60,67,21,1000,1141,202,90,1300000
"607",425000,26,63,64,"Côte d'Ivoire",1,1,2,63,61,62,58,66,11,1000,1141,182,77,776000
"608",120000,34,65,65,"Netherlands",1,1,2,65,60,65,67,63,20,2000,1140,196,78,174000
"609",1200000,26,67,72,"England",1,1,3,68,66,69,64,67,20,7000,1140,190,73,2400000
"610",2300000,29,73,74,"Italy",1,0,3,72,72,75,73,73,20,600,1140,187,74,5200000
"611",3e+05,31,64,64,"Spain",1,1,2,64,63,64,62,65,16,3000,1139,195,84,570000
"612",210000,35,71,71,"France",1,1,2,72,70,65,72,73,14,6000,1139,185,88,420000
"614",1700000,24,69,74,"England",1,1,2,69,65,67,67,69,11,12000,1139,184,69,3300000
"616",650000,28,65,68,"Germany",1,1,3,69,63,60,62,65,15,2000,1139,186,81,991000
"617",1e+06,27,67,70,"Spain",1,1,3,66,68,64,66,65,16,2000,1139,189,76,1600000
"619",9500000,25,76,82,"Mexico",1,1,3,77,72,69,75,80,26,15000,1138,184,74,18100000
